Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
OXDR-50GB-10M-ADDON-SG,"Helix Connect XDR Retention 10 Months Add-On - 50 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's data retention from 3 months to 13 months.You must have the corresponding OXDR-50GB-ADDON-SG subscription (that includes 90 days) for this 10 month add-on, which provides a full 13 months in total.
FEATURES INCLUDED: 13 month retention of customer logs.
RESTRICTIONS: Must already own the Trellix OXDR-50GB-ADDON-SG offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Connect  XDR Ret 50GB AO (SG)1:1TE,XM1SGE-AA,Call For Quote,XM1SGE-AA-AA,
OXDR-100GB-10M-ADDON-SG,"Helix Connect XDR Retention 10 Months Add-On - 100 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's data retention from 3 months to 13 months.You must have the corresponding OXDR-100GB-ADDON-SG subscription (that includes 90 days) for this 10 month add-on, which provides a full 13 months in total.
FEATURES INCLUDED: 13 month retention of customer logs.
RESTRICTIONS: Must already own the Trellix OXDR-100GB-ADDON-SG offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Connect XDR Ret 100GB AO (SG)1:1TE,XM2SGE-AA,Call For Quote,XM2SGE-AA-AA,
OXDR-250GB-10M-ADDON-SG,"Helix Connect XDR Retention 10 Months Add-On - 250 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's data retention from 3 months to 13 months.You must have the corresponding OXDR-250GB-ADDON-SG subscription (that includes 90 days) for this 10 month add-on, which provides a full 13 months in total.
FEATURES INCLUDED: 13 month retention of customer logs.
RESTRICTIONS: Must already own the Trellix OXDR-250GB-ADDON-SG offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Connect XDR Ret 250GB AO(SG) 1:1TE,XM3SGE-AA,Call For Quote,XM3SGE-AA-AA,
OXDR-1TB-10M-ADDON-SG,"Helix Connect XDR Retention 10 Months Add-On - 1 TB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's data retention from 3 months to 13 months.You must have the corresponding OXDR-1TB-ADDON-SG subscription (that includes 90 days) for this 10 month add-on, which provides a full 13 months in total.
FEATURES INCLUDED: 13 month retention of customer logs.
RESTRICTIONS: Must already own the Trellix OXDR-1TB-ADDON-SG offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Connect XDR Ret 1TB AddOn(SG)1:1TE,XM4SGE-AA,Call For Quote,XM4SGE-AA-AA,
OXDRCS-2YR-50GB-ADDON-SG,"Helix Connect 2 Year Cold Storage - 50 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 2 years.
RESTRICTIONS: Must already own the OXDR-50GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 2Yr 50GB (SG)1:1TE,XCS21SGE-AA,Call For Quote,XCS21SGE-AA-AA,FCS Date 03/31/2025
OXDRCS-2YR-100GB-ADDON-SG,"Helix Connect 2 Year Cold Storage - 100 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 2 years.
RESTRICTIONS: Must already own the OXDR-100GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 2Yr 100GB (SG)1:1TE,XCS22SGE-AA,Call For Quote,XCS22SGE-AA-AA,FCS Date 03/31/2025
OXDRCS-2YR-250GB-ADDON-SG,"Helix Connect 2 Year Cold Storage - 250 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 2 years.
RESTRICTIONS: Must already own the OXDR-250GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 2Yr 250GB (SG)1:1TE,XCS23SGE-AA,Call For Quote,XCS23SGE-AA-AA,FCS Date 03/31/2025
OXDRCS-2YR-1TB-ADDON-SG,"Helix Connect 2 Year Cold Storage - 1 TB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 2 years.
RESTRICTIONS: Must already own the OXDR-1TB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 2Yr 1TB (SG)1:1TE,XCS24SGE-AA,Call For Quote,XCS24SGE-AA-AA,FCS Date 03/31/2025
OXDRCS-3YR-50GB-ADDON-SG,"Helix Connect 3 Year Cold Storage - 50 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 3 years.
RESTRICTIONS: Must already own the OXDR-50GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 3Yr 50GB (SG)1:1TE,XCS31SGE-AA,Call For Quote,XCS31SGE-AA-AA,FCS Date 03/31/2025
OXDRCS-3YR-100GB-ADDON-SG,"Helix Connect 3 Year Cold Storage - 100 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 3 years.
RESTRICTIONS: Must already own the OXDR-100GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 3Yr 100GB (SG)1:1TE,XCS32SGE-AA,Call For Quote,XCS32SGE-AA-AA,FCS Date 03/31/2025
OXDRCS-3YR-250GB-ADDON-SG,"Helix Connect 3 Year Cold Storage - 250 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 3 years.
RESTRICTIONS: Must already own the OXDR-250GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 3Yr 250GB (SG)1:1TE,XCS33SGE-AA,Call For Quote,XCS33SGE-AA-AA,FCS Date 03/31/2025
OXDRCS-3YR-1TB-ADDON-SG,"Helix Connect 3 Year Cold Storage - 1 TB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 3 years.
RESTRICTIONS: Must already own the OXDR-1TB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 3Yr 1TB (SG)1:1TE,XCS34SGE-AA,Call For Quote,XCS34SGE-AA-AA,FCS Date 03/31/2025
XDRQS8-50GB-ADDON-SG,"Helix Connect 8 Day Index Search Retention - 50 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 8 days of event data.
RESTRICTIONS: Must already own the OXDR-50GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 8d 50GB (SG)1:1TE,XQS81SGE-AA,Call For Quote,XQS81SGE-AA-AA,FCS Date 03/31/2025
XDRQS8-100GB-ADDON-SG,"Helix Connect 8 Day Index Search Retention - 100 GB (Singapore Data Center)
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 8 days of event data.
RESTRICTIONS: Must already own the OXDR-100GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 8d 100GB (SG)1:1TE,XQS82SGE-AA,Call For Quote,XQS82SGE-AA-AA,FCS Date 03/31/2025
